name,quantity,unit
6 liter milk,54.0,fl. oz.s
active yeast,4.0,teaspoons
agave nectar,2.0,tbsps
ajwain seeds,0.5,teaspoons
all purpose flour,250.0,grams
all purpose flour,180.019,grams
all purpose flour,1.0,tbsp
almond extract,0.5,teaspoons
almond meal,1.0,tbsp
almond milk,83.333,milliliters
almond milk,250.0,milliliters
almonds,110.0,grams
apple cider vinegar,59.75,milliliters
apple sauce,4.0,tbsps
applesauce,1.0,tbsp
asafetida,1.0,pinch
asian sesame oil,1.0,tbsp
avocado,37.5,milliliters
avocado,4.0,smalls
avocado,1.0,medium
bacon,170.097,grams
bacon,113.398,grams
baking powder,2.0,teaspoons
baking powder,0.5,teaspoons
baking powder,0.75,teaspoons
baking powder,0.5,teaspoons
baking powder,2.0,teaspoons
baking powder,1.0,tbsp
baking powder,1.5,teaspoons
baking powder,1.0,teaspoon
baking soda,0.25,teaspoons
baking soda,2.0,teaspoons
baking soda,1.0,teaspoon
baking soda,0.5,teaspoons
baking soda,0.125,teaspoons
baking soda,0.25,teaspoons
banana,2.0,
banana,2.0,
banana,100.0,grams
basil,1.0,sprig
basil,1.0,sprig
basil,1.0,sprig
basil,1.0,sprig
basil leaves,0.5,tbsps
basil leaves,0.5,tbsps
basil leaves,16.0,grams
basil leaves,16.0,grams
bay leaf,1.0,
beef broth,113.5,milliliters
beef broth,480.0,milliliters
beef chuck,1.814,kgs
beef chuck roast,1.361,kgs
beef gravy,236.0,milliliters
beer,340.194,grams
beets,68.0,grams
beijing cabbage,0.5,
bell pepper,1.0,large
bell pepper,0.5,
bell pepper,0.5,
biscuits,1.0,can
bittersweet chocolate chips,180.0,milliliters
black beans,425.243,grams
blanched almonds and,1.0,handful
blueberries,74.0,grams
bouquet garnic,1.0,medium
bread crumbs,54.0,milliliters
bread flour,187.5,grams
breadcrumbs,27.0,milliliters
broccoli florets,455.0,grams
broccolini,1.0,bunch
brown rice flour,210.667,grams
brown sugar,1.0,tbsp
brown sugar,220.0,grams
brown sugar,220.0,grams
brown sugar,0.5,tbsps
brown sugar,0.5,tbsps
brown sugar,1.0,tbsp
brown sugar,165.0,grams
brown sugar,165.0,grams
butter,4.0,tbsps
butter,2.0,tbsps
butter,2.0,tbsps
butter,113.5,grams
butter,2.0,tbsps
butter,170.0,grams
butter,42.524,grams
butter,1.0,tbsp
butter,8.0,tbsps
butter,113.398,grams
butter,2.0,tbsps
butter,75.667,grams
butter,2.0,sticks
buttermilk,360.0,milliliters
buttermilk,120.0,milliliters
canola oil,30.0,servings
carrot,113.398,grams
carrot,128.0,grams
carrot,128.0,grams
carrot,453.592,grams
carrot,1.0,large
carrot,1.0,medium
cauliflower,907.185,grams
cayenne,0.5,teaspoons
cayenne,1.0,pinch
cayenne pepper,0.25,teaspoons
cayenne pepper,1.0,
cayenne pepper,0.5,teaspoons
celery,50.5,grams
celery,101.0,grams
celery,101.0,grams
celery,2.0,ribs
cheddar cheese,113.0,grams
cherry tomatoes,6.0,
cherry tomatoes,4.0,
chicken,1.0,
chicken breasts,3.0,
chicken broth,236.0,milliliters
chicken broth,235.0,milliliters
chicken fat,6.0,tbsps
chicken stock,480.0,milliliters
chickpea flour,120.0,grams
chili,1.0,
chili powder,0.5,teaspoons
chili powder,0.5,teaspoons
chili slit,2.0,servings
chilies,2.0,
chilies,2.0,
chilli flakes,1.0,tbsp
chocolate,141.748,grams
chocolate,50.0,grams
chocolate and hazelnuts,4.0,servings
chocolate chips,180.0,milliliters
chocolate chips,113.398,grams
chocolate chunks,85.0,milliliters
chocolate-hazelnut pirouette cookies,6.0,
choux pastry,6.0,servings
cilantro,4.0,grams
cilantro,2.0,teaspoons
cinnamon,0.25,teaspoons
cinnamon,1.5,teaspoons
cinnamon,0.5,teaspoons
cinnamon,1.0,teaspoon
cocoa powder,3.0,tbsps
cocoa powder,43.0,grams
cocoa powder,64.5,grams
cocoa powder,0.5,teaspoons
cocoa powder,86.0,grams
cocoa powder,43.0,grams
coconut beverage,85.0,grams
coconut beverage,85.0,grams
coconut butter,80.0,milliliters
coconut milk,200.0,milliliters
coconut milk,395.5,milliliters
coconut milk,150.667,milliliters
coconut milk,411.068,grams
coconut sugar,120.0,grams
coffee granules,1.0,teaspoon
condensed cream of chicken soup,2.0,cans
confectioner's sugar - optional,8.0,servings
confectioners' sugar,240.0,grams
corn on the cob,1.0,large
cornbread,1.893,kgs
cornstarch,2.0,tbsps
cornstarch,2.0,tbsps
cornstarch,2.0,tbsps
corriander,2.0,tbsps
corriander,2.0,tbsps
cranberries,121.212,grams
cranberries,110.0,grams
cream,115.0,milliliters
cream,178.5,milliliters
cream,238.0,milliliters
cream cheese,453.592,grams
cremini mushrooms,680.389,grams
cremini; but your choice),4.0,servings
cucumbers,2.0,
cumin,0.5,teaspoons
cumin,0.5,teaspoons
cumin seeds,1.0,teaspoon
curry powder,6.0,servings
daikon radish,1.0,medium
dates,3.0,
defrosted blackberries,576.0,grams
dill,1.0,teaspoon
drop natural food coloring,1.0,
ear of corn,1.0,
earth balance buttery spread,2.0,tbsps
egg,3.0,
egg,1.0,large
egg,4.0,larges
egg,1.0,
egg,9.0,
egg,1.0,
egg,2.0,
egg,2.0,larges
egg,2.0,
egg,1.0,
egg,6.0,
egg,4.0,
egg,1.0,
egg yolks,2.0,
egg yolks,6.0,
egg yolks,2.0,
eight packages ounces cream cheese,85.049,grams
enoki mushrooms,65.0,milliliters
espresso,2.0,teaspoons
extra virgin olive oil,3.0,tbsps
extra virgin olive oil,2.0,tbsps
fat-trimmed beef flank steak,453.592,grams
fenugreek leaves,118.294,grams
five spice powder,1.0,teaspoon
flaxseeds,1.0,tbsp
flour,6.0,tbsps
flour,90.0,grams
flour,125.0,grams
flour,2.0,tbsps
flour,1.0,tbsp
flour,190.0,grams
flour,240.0,grams
flour,250.0,grams
flour,1.0,tbsp
flour,3.0,tbsps
flour,3.0,tbsps
flour,60.0,grams
flour,125.0,grams
full cream milk,122.0,milliliters
full-bodied wine,480.0,milliliters
