,Energy,Total lipid (fat),"Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Carbohydrate, by difference",Carbohydrates (net),"Fiber, total dietary","Sugars, total including NLEA","Sugars, added",Protein,Cholesterol,"Sodium, Na","Calcium, Ca","Magnesium, Mg","Potassium, K","Iron, Fe","Zinc, Zn","Phosphorus, P","Vitamin A, RAE","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE","Folate, food",Folic acid,Vitamin B-12,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Water
Healthy Vegan Red Velvet Brownies,298.22668749994585,4.402559999999871,0.8432962499999896,0.0,1.0627487499999975,2.830960249999982,61.830756249985434,50.91014374998685,10.920612499998583,41.98976249998789,40.0125,8.775216249999783,0.0,114.93649999999744,121.31037499999483,63.956124999996135,482.9870624999046,3.5297731249997035,1.0287837499999613,177.75974999999355,0.24624999999871086,3.0286249999726698,0.12593787499996648,0.06784312499996133,0.6564668749998918,0.11904974999996519,98.79874999999613,98.79874999999613,0.0,0.0,0.0,0.06964999999979374,4.393249999999355,17.9278062498863
Classic Macaroni and Cheese,1217.1024481446202,55.77971940935102,32.196978086973225,1.1367500317172683,14.1955130324042,3.2598056695446047,132.3211500978836,126.79321997442389,5.527930123459696,13.075474087240291,,45.04628720402168,153.59771087314468,1013.4385760591728,776.4273554437586,123.41398724505112,658.3717252641013,2.5592139089527772,5.727225665215156,797.7806609772864,485.50754936709353,0.23451129456453151,0.28438420639328066,0.7503339084974745,3.154947462786709,0.3503765900688119,65.88483393293342,60.17415270893267,3.3688910817846174,1.4492244097129654,3.117703952024457,1.5502028608518514,6.45093221756686,196.73567771360112
Julia Child's Boeuf Bourguignon,591.433113618226,26.1506696105023,9.738858358214245,0.5981303270506859,12.774601716303147,2.6317559106959365,21.864112487140535,18.816844191853786,3.0472682952867487,8.678765584192206,,58.579591753518294,166.34396056209067,1549.757361268035,88.66654409281726,87.44535132238073,1791.9841250861905,6.130353507853287,13.992634484507652,722.2630039982249,179.8694861865377,19.678730481726635,0.4363088360918636,0.9884037000259669,17.322312450909315,1.7164126543885052,58.8637292203815,58.8637292203815,0.0,5.344619276974201,0.396847123503685,1.4258709109843886,11.696750019873805,547.8611573790291
Strawberry and Nutella Cobbler,716.9175241652794,36.90882748027204,24.275668146424472,1.115449981292709,8.274806906859228,1.77177627730603,90.19177369122798,85.94817363562892,4.243600055599061,48.71027039936228,39.9266655960149,8.334647097684734,101.64987732748074,601.7873688642293,268.2547254004211,40.191895580605795,366.9315310358454,1.9162690082126248,0.8158268909384254,373.6582752733528,371.0410287493483,71.09973386191582,0.1074284639065798,0.24081327766479255,1.10021829624485,0.1166951428166567,44.958226128142094,44.958226128142094,0.0,0.17722903083607483,1.4392902984422054,1.8123252739212716,5.877913941012157,167.4755065777875
Blackberry Pie With Lemon Verbena Whip Cream,534.8071201068651,39.317506660209204,15.835288605995165,0.0,17.699896223180357,3.6031525129663997,41.598346052123745,36.54955486509325,5.0487911870304965,8.026492892020377,2.4950000371362218,6.8587767231245405,56.42760472580492,167.25565300995785,66.83857054426183,27.997290820864556,226.76658339700148,2.152261438699163,0.7863313165626591,86.56953981421533,150.56759012466966,30.200751321698426,0.2785931550799758,0.25361383655878994,2.9609440632286423,0.07167911423374063,95.1627838774747,28.562783877474697,39.0,0.09858445891941588,0.2885113766503334,1.5088362525770922,22.510092145167324,116.87139906009352
Apple Roasted Pork Loin,697.5992833306569,35.6336460740459,10.881240628947245,0.0,17.66273898501829,3.7613334370242213,48.26025278954631,45.10662067344589,3.1536321161004213,43.1678615750312,33.23289385100091,45.37952640438003,142.90499702095985,195.67099569109746,54.54002695121722,55.52583510114009,970.7620348217204,2.2434762063828164,4.102994769193929,464.30575411054,9.846583243526519,2.0050260943168934,2.0665534574908166,0.6055175059851772,10.588920502565706,1.1325397480238728,3.4023210671567057,6.4923210671567055,0.0,1.2022166416049005,1.134166643023491,1.637063323501945,7.772833345651627,256.82929131520194
Crispy Panko and Herb Crusted Salmon,482.23845675238965,32.15175773397625,6.191118601434678,0.0,13.934638807533817,7.128695551755099,14.063083410380779,12.543366723725198,1.519716686655581,2.1386567015072706,,32.92352222334146,83.15862197875977,310.95652761563656,59.18827475142479,49.9584903255254,676.0144068214298,1.3587731565134233,0.6941926489023863,378.5178204079419,153.21321459311247,42.59836977863311,0.34034681412917384,0.2629494504287839,13.506827780642661,1.0626804008693398,63.47918232287467,63.47918232287467,0.0,4.883679072570801,16.631724395751956,7.501484419102073,95.3649876871854,144.13142469651254
5 Minute Gluten Free Wonder Buns,284.403062498463,15.351744791571784,2.8141203124944245,0.019201249999996596,4.162105833325393,4.774168229135711,26.2762093749079,21.756276041610537,4.519933333297363,4.402598958529553,3.9334218751995076,13.049695833258061,186.0,255.92295625010286,312.85469791700376,61.93877083410092,281.8906416699014,3.443770833341742,1.5138240625022696,442.723210416225,80.0,0.1207499999979585,0.11216015624983872,0.25400052083343116,0.7804619791656158,0.206121770834945,32.5166666666812,32.5166666666812,0.0,0.445,1.0,0.5483958333333787,0.17239583333446928,42.189021875019364
khichdi recipe,331.71025,7.2009799999999995,4.1634905,0.00126,2.08843825,0.48742425,60.44363499999999,58.83015999999999,1.6134749999999998,1.8882050000000001,,5.6014125,16.384,999.7470727353516,36.48185353373531,42.178175019065144,258.06460132439616,2.585282304631341,1.104026015090108,101.70425,83.538,14.763250000000003,0.07807950000000001,0.06170525,1.5641410000000002,0.1989165,16.52875,16.52875,0.0,0.00064,0.0,0.8007625,5.4211,355.3651353993209
Wasabi Ice Cream (Wasabi Aisu),180.00664599708415,12.274101223737723,7.400649059057361,0.0,3.7198205758573555,0.4798113430336514,16.473761382457955,16.315323882460632,0.1584374999973213,15.89828712219759,14.146400827407836,1.8080235936489224,76.98412295144527,56.16755250198819,46.21054022171567,5.390559678231152,67.27736538679787,0.13504217518207656,0.2486155584647582,47.21620215305025,117.66672112977254,1.0637151734231105,0.02305013700212406,0.08911712994718672,0.04337283271838894,0.03198051604281719,7.343014297331035,7.343014297331035,0.0,0.1945359905103494,0.5620121734535094,0.4077288716835543,1.0190378606006496,39.01188531182808
Jalapeno Cornbread Stuffing,610.8867985210975,23.225635440671827,5.0960028326824665,0.0,8.317702783264803,8.373414468085553,86.85793693890597,85.25952696330796,1.5984099755980075,1.7681393958931386,,14.543799942234921,82.54116693815928,1289.097511698132,489.5270681822707,64.32365522330707,411.4549312402228,5.136648669414236,1.6729774279970768,363.39614944957646,184.1215899020668,7.361957982366013,0.6365784096864558,0.6052412049430785,4.869228212981475,0.29614032143692115,234.9841451928523,47.577144531956,109.79400038719177,0.2887780010733008,0.0,0.41889566884118723,6.145012930369232,124.95578617392631
Bittersweet chocolate pudding,204.70993800677383,9.211846376717526,5.331852634134271,0.0027233334144949914,2.706546357747369,0.5066865840775354,31.569276027308216,26.241942810879866,5.327333216428351,21.237729437823656,16.63333269882202,6.402181596585827,45.224799925002266,98.74596999035376,118.60889315882703,81.0313806076139,341.07534003632037,2.1659801894866435,1.387332537850337,191.38164161668385,82.4280759116599,0.0,0.05294574111853928,0.21449543366968277,0.39745903627333445,0.05961794244216492,12.291066083149518,12.291066083149518,0.0,0.449295949363983,1.2337905184722593,0.258113596987714,0.9628106340501549,81.15089452768618
"Guf"" Danish Ice Cream Topping",71.10503654689805,0.11766696435217691,0.005269091765137422,0.0,0.012342785282142743,0.04447547601702537,16.2014900476933,15.626875034570356,0.5746150131229454,15.133594160277747,13.572499999999998,1.899138899376739,0.0,26.4159102359251,5.917856791366946,5.55383559247096,71.69417836778017,0.13837056243931803,0.04701486290788579,9.347077818768796,0.2834950065612793,17.65313138585311,0.008037843978289496,0.07771066947583426,0.1281210394951189,0.015273386751090912,7.936177311617672,7.936177311617672,0.0,0.014039185967726676,0.0,0.08602605190296436,0.6236890144348145,41.8273116057827
Tropical Ice Pops,180.4169933467323,7.665994579902735,6.046023377428943,0.0,1.759739576610164,0.5643657910768346,28.659524699130408,27.63563580361878,1.0238888955116272,29.871867980718616,16.694333092927934,0.9847407104651806,0.0,16.13537199682178,38.4432820444774,40.47571833219619,208.75013085817687,1.5897221088611173,0.6296792712036327,57.21843134375221,15.468750000000002,20.979165368295774,0.044601665750479094,0.19709166233539582,0.6174361474871927,0.06497396363766766,19.995315156140812,21.766148529210575,0.0,0.0,0.0,0.25162500000000004,1.2993750000000002,120.49248022001578
Hard-Boiled Egg Gratin In A Bechamel Sauce,384.7823511031318,27.757955216620516,14.496356013293324,0.03268,8.653832874076313,2.555566185861544,14.461814222465717,13.42005725450268,1.0417569679630365,9.777748030171914,,19.368706045167134,375.91027867761875,711.9261055334586,332.6341733213694,35.675477900194245,406.50057468998887,1.7896656178784025,2.153315111522036,374.4396616153592,329.9874803864956,3.0847917586024964,0.13386942712586863,0.6938479707944865,0.3079534636722895,0.2628444384975935,58.150807733398544,58.150807733398544,0.0,1.6210855051134323,3.742266994100717,1.3844463165046592,3.7734481985653723,241.73592395124734
Beef Cottage Pie,272.1010542152775,14.988626383007519,5.340874843368287,0.6824707154846191,6.845453700875069,0.7854647154153683,19.343215498594514,15.79819378026484,3.5450217183296733,1.42487060957552,,14.958814432583903,43.49787435994079,486.35183500142693,86.65822203511067,38.54304205681943,571.6932448919242,2.561194076914765,3.1705985202372293,188.0690789390756,127.45231256882592,16.547605525445334,0.14314239052777103,0.1775606286128871,3.779759780771531,0.41478589161876167,30.2376056802158,30.2376056802158,0.0,1.2842348465242082,0.07412551498383624,0.530053087161913,5.697580113647614,157.54398479273542
Easy Eclairs,1236.1480759266406,84.06833307578694,39.651635942982566,0.8785266704079462,32.28474473535584,7.126884773642039,106.68006589783121,104.28189923025101,2.398166667580199,58.2120475000288,50.18083270213964,18.59993458283129,382.26603625154326,544.5773237780262,219.10140774850885,53.723245223356216,444.92067705939803,3.701320874547901,1.9925364220771717,349.18749256663955,562.2586111253923,0.41982258229837077,0.3727888302468744,0.714409424524757,3.024302246180978,0.18568657029549182,123.10972365145585,56.509723651455865,39.0,1.1336478954941842,3.783131712633062,2.890203041534708,14.246018656555508,200.1894571964369
Baked Oatmeal with Dried Cranberries,161.15139851518353,3.6745222142939036,0.8006838853593736,0.004019972411103296,1.8547938764499614,1.5435603684159338,26.775212452820227,22.04900126380621,4.726211189014014,3.8331369754097606,,6.5080448372679935,35.546666931509975,180.39119858248816,160.3985988770545,63.90957782580879,262.759285217369,1.8575972834018748,1.325134632995891,288.9357336561058,20.16426990755672,4.145720074886083,0.2554474076293559,0.11840651268174185,0.5156070322431067,0.16088908904012666,27.06546005729711,27.06546005729711,0.0,0.08504444507807493,0.19111111253499985,0.9818574572861771,1.0150333595000207,67.69985056362204
Tzadziki,545.2156987399476,47.73037757444964,20.236969882494893,0.7184600659551389,21.772357058634547,3.3183813769923343,22.94597913836143,21.21826663836143,1.7277125000000002,15.621051400681116,,10.533329899529894,90.20937733732168,346.7977113624128,333.37420288317355,69.72524117893511,826.2534536073367,1.4437179863064966,1.9206927707425114,294.7901130296682,306.12406758205384,10.91305761396552,0.15652167308085815,0.4838323600765385,0.5139566568409298,0.2483745911452066,36.85905716793452,36.85905716793452,0.0,0.7967521030995977,1.117328375707302,3.6596908942645383,64.43465675141461,496.14606590637237
Almond and cranberry shortbread,328.0149502919244,21.144235858184658,9.362543754905689,0.0019943750051315875,8.393066013717355,2.2873035050378476,31.183978174206906,28.717490671487475,2.4664875027194304,13.359321418524969,12.225,5.303773345547599,65.63800043344499,4.477341691214486,45.33790011642438,39.93316674196781,130.017275237388,0.8003913353270208,0.618936251732826,98.0234586209814,126.87160015290976,1.9334500058828181,0.05596614179253637,0.17061517540621599,0.7189590676354242,0.04218870851185371,15.42372507486965,15.42372507486965,0.0,0.081420000782609,0.14544000216722489,3.869388007486242,1.8158533336142701,17.560590452905316
Broccolini Quinoa Pilaf,681.642793797851,31.650607613008745,3.6465083475524236,0.0,8.982415094856423,17.248792336685696,83.21088839589487,66.65071453636273,16.560173859532135,7.739507816834124,,25.47073867366589,0.0,142.8228794105018,231.3720361938892,283.39270561558675,1639.762505212866,7.126902848232976,4.879278167363435,702.7924829781995,103.1998745755256,275.5890846058175,0.6419771585893753,0.6848085940668837,3.644489418667042,1.1704306777152396,384.61572689305274,384.61572689305274,0.0,0.0001377659155086521,0.0008252426362711404,5.651276279933394,318.553433365967,545.1118626627709
Vegan Peanut Butter Chocolate Fudge,168.44306053730932,9.983621966278106,0.5358213428084254,0.0020000000596046446,0.8264680209533571,0.37339501077398657,19.464675816285762,15.630381562943239,3.8342942533425237,10.04325029782078,4.922666813290331,2.44370394740113,0.0,8.276889768540007,6.768000098705292,28.450000446349385,195.0246712557674,0.8474279479278506,0.30942333707511427,37.27800052034855,1.1570000344812872,3.3553000999957323,0.018138667144477368,0.04044566767811775,0.6676366848096252,0.15666767124077677,10.89733363234997,10.89733363234997,0.0,0.0,0.0,0.2839333417147398,0.2683333393186331,29.368434206166867
Curried Cauliflower Gratin,288.23750125411897,24.222890820432877,16.417157050267647,0.0,4.317055600797283,1.9896945753241564,17.456660350583647,11.633831095600867,5.82282925498278,3.8425540364530733,,5.860711036653912,10.176666969954967,388.6509605982448,84.17799722084723,71.11260797612199,711.2570724089835,4.318480969900378,1.1256284432205375,164.45599893491345,37.264014998254076,74.96637231420979,0.13229939985466868,0.1166768054531638,1.5759399148533937,0.34929267379313356,106.08907686724896,103.23373625524859,1.6844455408923087,0.015236373483455388,0.0,2.0082997164039864,32.2088849404374,199.9108542622254
Chocolate Banana Zucchini Cake,586.6059416864124,18.770992709592985,10.995989438247388,0.00475,5.697005751460293,1.0021284998322275,104.6815590338274,100.34675354399633,4.334805489831063,73.93946130426626,71.48818630426625,7.071388187676388,77.003125,365.5746232296282,97.50305166800986,66.24278073399624,362.5339109528389,3.4584741553397067,1.1151910271513499,162.91672875554332,119.026375,4.0327375,0.2758657828148138,0.2719374135454493,2.276501211580489,0.1485615890639699,108.27180093804647,26.39680093804647,48.125,0.13536875,0.25,0.6135510187609201,2.919526750235165,42.99262261464381
Slow Cooker Chicken and Dumplings,420.83875767815675,20.99881343628829,8.316891787543621,0.00952,6.877651072877345,2.9336213410767717,21.281524384222706,20.356543106656364,0.9249812775663439,1.9640598502002402,,35.2011522204564,128.4666675364971,915.6369069009589,92.90019489355954,51.74508534977257,577.3743995030593,2.5547594361416315,1.4302516978221351,370.922752421205,128.11625345342586,2.0270833937591783,0.23776366994262987,0.37121367055568255,14.210374576069572,1.1451775845915153,42.10970922353035,22.743041979692038,11.43333367407322,0.32036000103592877,0.0,1.5483637734474531,13.152573308817118,290.75186017766833
Moosewood Lentil Soup,401.53079341902435,3.4794730933995,0.4127228200142667,0.0,0.5756471989527501,2.1583105699059764,70.71829298514818,58.61947001972919,12.098822965418993,7.854906115056596,2.9302084206108057,24.551728879627237,0.0,232.76312221825594,65.16792329883421,57.46399530482934,877.7158190601318,6.690256257500361,3.318505163241155,297.56569869305605,192.69010987199258,12.971312759317174,0.8782242824382342,0.2383980531709762,2.9345814714537304,0.619538232188866,479.0872714479447,479.0872714479447,0.0,0.0,0.0,1.4456787790576033,16.397104488990777,113.64999773873487
Mango Banana Coconut Smoothie,170.08260816301916,7.954582126255368,6.880162661325186,0.00042,0.3954653457048648,0.1370432751369719,26.901816644355755,24.215566644355754,2.68625,20.695325,,1.7359665913162368,0.0,9.271352403625727,27.705698400916802,39.59347388247531,378.8382426186001,1.8928736392790007,0.397940758196844,59.21927859720729,24.285000000000004,17.55506019372091,0.03665082426186,0.04585,0.9713365934002195,0.19653468542418548,30.62484271209273,30.62484271209273,0.0,0.0,0.0,0.42947500000000005,2.444,171.96068975647063
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",2331.4323544863933,123.87111691250425,70.19325715287447,0.022204000389575956,31.399987009967642,7.801456895148587,183.11891394449947,183.07691394449947,0.042,191.1006762598675,3.3865467391752686,120.40815734987562,468.38396324447245,1636.0144270122566,4210.906208812565,374.9039595579252,4940.176132620941,1.6419425630358777,14.086525845574709,3172.165194585853,1753.2686150216723,0.006,1.7303760804657888,6.403431585777983,3.4278971731834895,1.3816339890358371,201.95498019720836,198.22498019720837,2.19,16.938728183507077,48.79813474649874,2.8867457267797008,11.411738785997464,3292.3679287497366
Chocolate Hazelnut Mousse,763.1926396325732,62.86986445086595,32.353904420362895,0.0,23.78861643069161,3.689042349379189,47.01324865287045,40.91674865287045,6.096500000000001,35.5586490695405,28.1525,9.691359085627239,100.25738698369311,100.47990338072755,144.61321488950807,102.7088912238757,518.7960555174059,3.897613359094816,1.6929265668059696,230.20102460365604,252.49086458063402,2.435892181894087,0.27269027060908546,0.2517275101169852,1.1860814527389942,0.23460907959949262,51.41605899040461,45.38605899040461,3.51,0.2896696161868344,0.5409588485605032,7.256152977888751,8.437281485189057,69.60680464753185
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,231.70191285973482,16.174408959487415,2.221379472209661,0.07441110838780134,9.496720721128609,4.095366546827837,20.103075965302786,19.235704342372486,0.867371622930301,5.566035582687379,4.293202532842243,2.7057804039635727,2.5471201578762432,67.7872705044051,30.699212542593525,11.144587029997739,71.73130740093887,0.5545585938586597,0.31353510928897216,44.141244750875096,8.573965029100355,0.7260466069012386,0.13029419064779946,0.10061568096284552,0.8324068463556124,0.025160948294031066,34.68328289824561,18.745782898245608,9.375,0.06291939076616287,0.07910283528617236,2.5283308032266225,10.478784800905405,24.166349764302282
Jalapeno Cheese Quick Bread,119.7972469514727,5.2753176545046605,2.3672344613712,0.0013616667072474957,1.9790013068319148,0.37248043378108947,13.245921701808976,12.750850870632494,0.4950708311764831,1.0140417824568835,,4.709492052197938,24.231721240974494,164.51856986509293,173.9983218020419,8.79397062905778,56.42716951001618,0.6742126677539891,0.5588070057506606,194.56045747289946,46.261915632631705,3.3716665720939636,0.0828900395365023,0.1269450787330317,0.6132525619584706,0.036601027296085456,30.465652045730266,9.996902045730266,12.03125,0.2065399282521171,0.3334653394794599,0.40143996573083524,1.5314807959674903,24.575120487314145
White Chocolate Cheesecake With Raspberries,319.1716469992689,23.534337473987588,13.848718783961253,0.363227959079722,5.839756519690383,1.1390195832770318,23.912393975874764,21.0661358969043,2.846258078970465,19.267641197008977,15.2336982193858,4.284437990527349,92.76352272550322,120.39623798956457,69.78430907540698,13.868048881490946,130.80899749976334,0.6258632579165698,0.4709501976289921,72.31348465908071,196.40094830489963,10.402121454159497,0.03163235323866259,0.15057754291650902,0.3277799130017608,0.05780219622106039,17.071839953588846,16.184221857665467,0.5177772226219709,0.18223580335654943,0.2814629512530131,0.9873731784096842,4.9625443034921055,68.65552718706779
Classic Carrot Cake With Cream Cheese Frosting,1077.8546995752768,86.31716510117555,29.64893162170756,0.8707650771526918,39.79065866709189,11.304340750177815,67.4723728626593,62.851399794421994,4.620973068237305,36.75477222354202,29.863949999999996,13.0769404300548,211.6248239925248,686.0018772772346,220.25992669121385,50.28852810753328,444.97377126403126,1.7571875301349853,2.0132274896573255,356.8874171161472,884.1526168439387,3.743783997818391,0.243422041003874,0.35832960689091514,1.2959761766055988,0.21738411590545478,42.01158127353867,42.01158127353867,0.0,0.42943609958001294,0.5,7.7320246350619595,11.672684278936044,122.97501740805815
Knishes - Potato Filling,1023.5495301583007,81.15899188589931,24.37614885719426,0.01634,35.93488345857555,17.01877538008635,62.31755003597739,53.822131031660106,8.495419004317288,9.131280515971511,,12.71225128992878,225.24,1271.5967159123697,96.78085583892356,83.67601755144989,1434.5405237642021,3.3259137208969367,1.6372456796047155,284.4681944028978,68.99575,64.29822946907169,0.30727419730938105,0.3262263372086444,3.048740545036345,1.0607403277555005,90.67606431655204,90.67606431655204,0.0,0.3827,4.5464,2.591268542877702,7.283708575540273,386.47440837794215
